name	variety	region	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	tags	sources
Celeriac		Qld	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Celeriac		SA			yes	yes	yes	yes	yes	yes					vegetable	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Celeriac		Tas		yes	yes	yes	yes	yes	yes	yes	yes	be quick			vegetable	https://www.eatwelltas.org.au/whats-in-season/whats-in-season-in-spring/
Celeriac		Vic						yes	yes	yes	yes	yes			vegetable	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Celery		AU	yes	yes	yes	yes	yes	yes	yes	yes				yes	vegetable	https://www.frugalandthriving.com.au/seasonal-eating/
Celery		NSW	yes	yes			yes	yes	yes	yes				yes	vegetable	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Celery		Qld	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Celery		SA	maybe		yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Celery		Tas	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	https://www.eatwelltas.org.au/whats-in-season/whats-in-season-in-spring/
Celery		Vic	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes			vegetable	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Celery		WA	yes	yes	yes	yes	yes	yes	yes	yes				yes	vegetable	https://livelighter.com.au/eating-well/healthy-eating/fruit-and-veg/in-season/in-seasonwa
Cherries		AU	yes										yes	yes	fruit	https://www.frugalandthriving.com.au/seasonal-eating/
Cherries		NSW	yes										yes	yes	fruit	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Cherries		Qld	yes	yes				yes	yes	yes				yes	fruit	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Cherries		SA	maybe											yes	fruit	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Cherries		Tas	yes	be quick										yes	fruit	https://www.eatwelltas.org.au/whats-in-season/whats-in-season-in-spring/
